,100_episode_avg,episode_score
episode_342,0.011000000163912773,
episode 342,,0.0
episode_343,0.010000000149011612,
episode 343,,0.0
episode_344,0.010000000149011612,
episode 344,,0.0
episode_345,0.010000000149011612,
episode 345,,0.0
episode_346,0.011000000163912773,
episode 346,,0.10000000149011612
episode_347,0.012000000178813934,
episode 347,,0.10000000149011612
episode_348,0.012000000178813934,
episode 348,,0.0
episode_349,0.012000000178813934,
episode 349,,0.0
episode_350,0.012000000178813934,
episode 350,,0.0
episode_351,0.012000000178813934,
episode 351,,0.0
episode_352,0.012000000178813934,
episode 352,,0.0
episode_353,0.012000000178813934,
episode 353,,0.0
episode_354,0.012000000178813934,
episode 354,,0.0
episode_355,0.013000000193715095,
episode 355,,0.10000000149011612
episode_356,0.013000000193715095,
episode 356,,0.0
episode_357,0.013000000193715095,
episode 357,,0.0
episode_358,0.013000000193715095,
episode 358,,0.0
episode_359,0.013000000193715095,
episode 359,,0.0
episode_360,0.013000000193715095,
episode 360,,0.0
episode_361,0.013000000193715095,
episode 361,,0.0
episode_362,0.013000000193715095,
episode 362,,0.0
episode_363,0.013000000193715095,
episode 363,,0.0
episode_364,0.013000000193715095,
episode 364,,0.0
episode_365,0.013000000193715095,
episode 365,,0.0
episode_366,0.013000000193715095,
episode 366,,0.0
episode_367,0.013000000193715095,
episode 367,,0.0
episode_368,0.013000000193715095,
episode 368,,0.0
episode_369,0.013000000193715095,
episode 369,,0.0
episode_370,0.013000000193715095,
episode 370,,0.0
episode_371,0.013000000193715095,
episode 371,,0.0
episode_372,0.012000000178813934,
episode 372,,0.0
episode_373,0.012000000178813934,
episode 373,,0.0
episode_374,0.011000000163912773,
episode 374,,0.0
episode_375,0.011000000163912773,
episode 375,,0.0
episode_376,0.011000000163912773,
episode 376,,0.0
episode_377,0.011000000163912773,
episode 377,,0.0
episode_378,0.011000000163912773,
episode 378,,0.0
episode_379,0.011000000163912773,
episode 379,,0.0
episode_380,0.011000000163912773,
episode 380,,0.0
episode_381,0.011000000163912773,
episode 381,,0.10000000149011612
episode_382,0.012000000178813934,
episode 382,,0.10000000149011612
episode_383,0.012000000178813934,
episode 383,,0.0
episode_384,0.012000000178813934,
episode 384,,0.0
episode_385,0.012000000178813934,
episode 385,,0.0
episode_386,0.013000000193715095,
episode 386,,0.10000000149011612
episode_387,0.013000000193715095,
episode 387,,0.0
episode_388,0.013000000193715095,
episode 388,,0.0
episode_389,0.013000000193715095,
episode 389,,0.0
episode_390,0.013000000193715095,
episode 390,,0.0
episode_391,0.013000000193715095,
episode 391,,0.0
episode_392,0.012000000178813934,
episode 392,,0.0
episode_393,0.012000000178813934,
episode 393,,0.0
episode_394,0.013000000193715095,
episode 394,,0.10000000149011612
episode_395,0.013000000193715095,
episode 395,,0.0
episode_396,0.012000000178813934,
episode 396,,0.0
episode_397,0.012000000178813934,
episode 397,,0.0
episode_398,0.012000000178813934,
episode 398,,0.0
episode_399,0.012000000178813934,
episode 399,,0.0
episode_400,0.012000000178813934,
episode 400,,0.0
episode_401,0.012000000178813934,
episode 401,,0.0
episode_402,0.013000000193715095,
episode 402,,0.10000000149011612
episode_403,0.013000000193715095,
episode 403,,0.0
episode_404,0.012000000178813934,
episode 404,,0.0
episode_405,0.012000000178813934,
episode 405,,0.0
episode_406,0.013000000193715095,
episode 406,,0.10000000149011612
episode_407,0.014000000208616257,
episode 407,,0.10000000149011612
episode_408,0.015000000223517418,
episode 408,,0.10000000149011612
episode_409,0.015000000223517418,
episode 409,,0.0
episode_410,0.014000000208616257,
episode 410,,0.0
episode_411,0.014000000208616257,
episode 411,,0.0
episode_412,0.014000000208616257,
episode 412,,0.0
episode_413,0.014000000208616257,
episode 413,,0.0
episode_414,0.015000000223517418,
episode 414,,0.10000000149011612
episode_415,0.015000000223517418,
episode 415,,0.0
episode_416,0.015000000223517418,
episode 416,,0.0
episode_417,0.015000000223517418,
episode 417,,0.0
episode_418,0.015000000223517418,
episode 418,,0.0
episode_419,0.014000000208616257,
episode 419,,0.0
episode_420,0.015000000223517418,
episode 420,,0.10000000149011612
episode_421,0.015000000223517418,
episode 421,,0.0
episode_422,0.01600000023841858,
episode 422,,0.10000000149011612
episode_423,0.01600000023841858,
episode 423,,0.0
episode_424,0.01600000023841858,
episode 424,,0.0
episode_425,0.015000000223517418,
episode 425,,0.0
episode_426,0.015000000223517418,
episode 426,,0.0
episode_427,0.01600000023841858,
episode 427,,0.10000000149011612
episode_428,0.01600000023841858,
episode 428,,0.0
episode_429,0.01600000023841858,
episode 429,,0.0
episode_430,0.01600000023841858,
episode 430,,0.0
episode_431,0.01600000023841858,
episode 431,,0.0
episode_432,0.01700000025331974,
episode 432,,0.10000000149011612
episode_433,0.01600000023841858,
episode 433,,0.0
episode_434,0.01600000023841858,
episode 434,,0.0
episode_435,0.01600000023841858,
episode 435,,0.0
episode_436,0.01700000025331974,
episode 436,,0.10000000149011612
episode_437,0.01700000025331974,
episode 437,,0.0
episode_438,0.01700000025331974,
episode 438,,0.0
episode_439,0.018000000268220902,
episode 439,,0.10000000149011612
episode_440,0.018000000268220902,
episode 440,,0.0
episode_441,0.018000000268220902,
episode 441,,0.0
episode_442,0.018000000268220902,
episode 442,,0.0
episode_443,0.018000000268220902,
episode 443,,0.0
episode_444,0.018000000268220902,
episode 444,,0.0
episode_445,0.018000000268220902,
episode 445,,0.0
episode_446,0.01700000025331974,
episode 446,,0.0
episode_447,0.01600000023841858,
episode 447,,0.0
episode_448,0.01600000023841858,
episode 448,,0.0
episode_449,0.01600000023841858,
episode 449,,0.0
episode_450,0.01600000023841858,
episode 450,,0.0
episode_451,0.01600000023841858,
episode 451,,0.0
episode_452,0.01600000023841858,
episode 452,,0.0
episode_453,0.01600000023841858,
episode 453,,0.0
episode_454,0.01600000023841858,
episode 454,,0.0
episode_455,0.015000000223517418,
episode 455,,0.0
episode_456,0.015000000223517418,
episode 456,,0.0
episode_457,0.015000000223517418,
episode 457,,0.0
episode_458,0.015000000223517418,
episode 458,,0.0
episode_459,0.015000000223517418,
episode 459,,0.0
episode_460,0.015000000223517418,
episode 460,,0.0
episode_461,0.01600000023841858,
episode 461,,0.10000000149011612
episode_462,0.01600000023841858,
episode 462,,0.0
episode_463,0.01600000023841858,
episode 463,,0.0
episode_464,0.01600000023841858,
episode 464,,0.0
episode_465,0.01600000023841858,
episode 465,,0.0
episode_466,0.01600000023841858,
episode 466,,0.0
episode_467,0.01600000023841858,
episode 467,,0.0
episode_468,0.01600000023841858,
episode 468,,0.0
episode_469,0.01600000023841858,
episode 469,,0.0
episode_470,0.01600000023841858,
episode 470,,0.0
episode_471,0.01600000023841858,
episode 471,,0.0
episode_472,0.01600000023841858,
episode 472,,0.0
episode_473,0.01600000023841858,
episode 473,,0.0
episode_474,0.01600000023841858,
episode 474,,0.0
episode_475,0.01600000023841858,
episode 475,,0.0
episode_476,0.01600000023841858,
episode 476,,0.0
episode_477,0.01600000023841858,
episode 477,,0.0
episode_478,0.01600000023841858,
episode 478,,0.0
episode_479,0.01700000025331974,
episode 479,,0.10000000149011612
episode_480,0.01700000025331974,
episode 480,,0.0
episode_481,0.01600000023841858,
episode 481,,0.0
episode_482,0.01600000023841858,
episode 482,,0.10000000149011612
episode_483,0.01600000023841858,
episode 483,,0.0
episode_484,0.01700000025331974,
episode 484,,0.10000000149011612
episode_485,0.018000000268220902,
episode 485,,0.10000000149011612
episode_486,0.01700000025331974,
episode 486,,0.0
episode_487,0.01700000025331974,
episode 487,,0.0
episode_488,0.01700000025331974,
episode 488,,0.0
episode_489,0.01700000025331974,
episode 489,,0.0
episode_490,0.01700000025331974,
episode 490,,0.0
episode_491,0.01700000025331974,
episode 491,,0.0
episode_492,0.01700000025331974,
episode 492,,0.0
episode_493,0.01700000025331974,
episode 493,,0.0
episode_494,0.01600000023841858,
episode 494,,0.0
episode_495,0.01600000023841858,
episode 495,,0.0
episode_496,0.01600000023841858,
episode 496,,0.0
episode_497,0.01700000025331974,
episode 497,,0.10000000149011612
episode_498,0.01700000025331974,
episode 498,,0.0
episode_499,0.01700000025331974,
episode 499,,0.0
episode_500,0.01700000025331974,
episode 500,,0.0
episode_501,0.01700000025331974,
episode 501,,0.0
episode_502,0.01600000023841858,
episode 502,,0.0
episode_503,0.01700000025331974,
episode 503,,0.10000000149011612
episode_504,0.01700000025331974,
episode 504,,0.0
episode_505,0.01700000025331974,
episode 505,,0.0
episode_506,0.01700000025331974,
episode 506,,0.10000000149011612
episode_507,0.01600000023841858,
episode 507,,0.0
episode_508,0.01600000023841858,
episode 508,,0.10000000149011612
episode_509,0.01600000023841858,
episode 509,,0.0
episode_510,0.01600000023841858,
episode 510,,0.0
episode_511,0.01600000023841858,
episode 511,,0.0
episode_512,0.01600000023841858,
episode 512,,0.0
episode_513,0.01600000023841858,
episode 513,,0.0
episode_514,0.015000000223517418,
episode 514,,0.0
episode_515,0.015000000223517418,
episode 515,,0.0
episode_516,0.015000000223517418,
episode 516,,0.0
episode_517,0.015000000223517418,
episode 517,,0.0
episode_518,0.01600000023841858,
episode 518,,0.10000000149011612
episode_519,0.01600000023841858,
episode 519,,0.0
episode_520,0.015000000223517418,
episode 520,,0.0
episode_521,0.015000000223517418,
episode 521,,0.0
episode_522,0.014000000208616257,
episode 522,,0.0
episode_523,0.014000000208616257,
episode 523,,0.0
episode_524,0.015000000223517418,
episode 524,,0.10000000149011612
episode_525,0.015000000223517418,
episode 525,,0.0
episode_526,0.015000000223517418,
episode 526,,0.0
episode_527,0.014000000208616257,
episode 527,,0.0
episode_528,0.014000000208616257,
episode 528,,0.0
episode_529,0.014000000208616257,
episode 529,,0.0
episode_530,0.015000000223517418,
episode 530,,0.10000000149011612
episode_531,0.015000000223517418,
episode 531,,0.0
episode_532,0.014000000208616257,
episode 532,,0.0
episode_533,0.014000000208616257,
episode 533,,0.0
episode_534,0.014000000208616257,
episode 534,,0.0
episode_535,0.014000000208616257,
episode 535,,0.0
episode_536,0.013000000193715095,
episode 536,,0.0
episode_537,0.013000000193715095,
episode 537,,0.0
episode_538,0.013000000193715095,
episode 538,,0.0
episode_539,0.012000000178813934,
episode 539,,0.0
episode_540,0.012000000178813934,
episode 540,,0.0
episode_541,0.012000000178813934,
episode 541,,0.0
episode_542,0.012000000178813934,
episode 542,,0.0
episode_543,0.012000000178813934,
episode 543,,0.0
episode_544,0.012000000178813934,
episode 544,,0.0
episode_545,0.012000000178813934,
episode 545,,0.0
